Designator,Mid X,Mid Y,Rotation,Layer
C1,199.39,-109.74,90.0,top
C10,268.886,-115.351,-90.0,top
C11,254.986,-118.451,90.0,top
C12,204.47,-118.376,0.0,top
C13,197.17,-117.172,90.0,top
C14,189.743,-171.9,90.0,top
C15,178.902,-167.563,-90.0,top
C16,172.849,-169.512,180.0,top
C17,165.415,-112.11,180.0,top
C18,158.811,-112.11,0.0,top
C19,191.657,-121.049,180.0,top
C2,205.74,-114.312,-90.0,top
C20,209.55,-120.916,0.0,top
C21,229.616,-120.916,0.0,top
C22,191.257,-140.749,180.0,top
C23,209.484,-140.474,0.0,top
C24,229.804,-140.728,0.0,top
C25,203.443,-176.0,-90.0,bottom
C26,261.743,-195.451,0.0,bottom
C27,261.743,-191.251,0.0,bottom
C28,256.143,-193.151,180.0,bottom
C29,258.843,-177.851,-90.0,bottom
C3,205.486,-106.692,90.0,top
C30,256.843,-163.651,-90.0,bottom
C31,257.343,-203.351,0.0,bottom
C32,250.843,-198.951,180.0,bottom
C33,205.993,-176.0,-90.0,bottom
C34,200.893,-176.0,-90.0,bottom
C35,198.343,-176.0,-90.0,bottom
C36,208.543,-176.0,-90.0,bottom
C37,175.043,-192.1,-90.0,top
C38,177.068,-192.1,-90.0,top
C39,179.093,-192.125,-90.0,top
C4,152.3,-126.4,180.0,top
C40,181.118,-192.075,-90.0,top
C41,183.143,-192.1,-90.0,top
C42,211.643,-188.3,0.0,bottom
C43,211.643,-186.3,0.0,bottom
C5,165.2,-117.3,0.0,top
C6,152.3,-124.434,180.0,top
C7,162.999,-115.292,0.0,top
C8,154.713,-109.5,90.0,top
C9,165.7,-114.6,90.0,top
D1,261.443,-115.85,180.0,top
D2,264.443,-115.85,0.0,top
D3,253.386,-118.351,90.0,top
FB1,256.286,-114.851,-90.0,top
FB2,258.443,-115.951,-90.0,top
J1,178.3,-106.4,-90.0,top
J10,208.45,-190.249,90.0,top
J11,211.7,-167.749,180.0,bottom
J12,223.06,-171.389,-90.0,top
J13,170.399,-173.373,-90.0,top
J14,169.128,-190.549,90.0,top
J15,175.092,-187.237,0.0,top
J16,131.157,-107.349,0.0,top
J17,134.675,-171.825,180.0,bottom
J18,154.600001,-176.800001,180.0,bottom
J19,255.265,-185.60087,90.0,bottom
J2,148.05,-107.5,-90.0,top
J20,252.275,-164.84287,180.0,bottom
J21,257.677162,-143.514656,45.0,bottom
J3,141.05,-107.5,-90.0,top
J4,209.157,-114.449,90.0,top
J5,258.443,-119.4,0.0,top
J6,135.5,-139.76,90.0,top
J7,135.5,-155.0,90.0,top
J8,196.543,-189.25,180.0,top
J9,214.7,-190.049,0.0,top
P1,262.443,-109.05,180.0,top
R1,204.724,-109.486,0.0,top
R2,204.724,-111.518,180.0,top
R3,146.400001,-176.900001,180.0,top
R4,158.800001,-176.900001,0.0,top
R5,173.8,-107.7,90.0,top
R6,173.8,-111.1,90.0,top
R7,189.9,-180.149,-90.0,top
R8,180.346,-178.412,0.0,top
R9,167.199,-122.092,90.0,top
RN1,203.454,-131.584,-90.0,top
RN2,146.05,-131.0,0.0,top
RN3,211.08,-171.023,180.0,top
RN4,218.043,-172.293,-90.0,top
RN5,174.504,-183.215,0.0,top
RN6,191.268,-183.977,0.0,top
SW1,249.434,-180.25587,180.0,top
SW10,231.02,-124.218,180.0,bottom
SW11,190.62,-143.776,180.0,bottom
SW12,210.82,-143.776,180.0,bottom
SW13,231.02,-143.776,180.0,bottom
SW14,133.1,-125.086,0.0,bottom
SW15,262.138,-138.1,0.0,top
SW16,257.634,-157.41587,0.0,top
SW17,255.684,-199.41587,-135.0,top
SW18,129.975,-177.725,-90.0,top
SW2,158.950001,-172.185787,180.0,top
SW3,158.950001,-186.700001,180.0,top
SW4,176.25,-126.55,180.0,top
SW5,123.1,-144.075,180.0,bottom
SW6,135.6405,-144.075,180.0,bottom
SW7,148.181,-144.075,180.0,bottom
SW8,190.62,-124.218,180.0,bottom
SW9,210.82,-124.218,180.0,bottom
U1,157.927,-120.116,-90.0,top
U2,195.078,-177.373,90.0,top
U3,183.902,-173.563,90.0,top
U4,194.818,-110.502,0.0,top
U5,200.472,-117.106,180.0,top
U6,175.774,-174.579,90.0,top
VR1,267.684,-177.01587,0.0,top
Y1,159.663,-108.3,0.0,top
mouse-bite-5mm-slot_5,249.5,-118.0,90.0,top
mouse-bite-5mm-slot_4,196.1,-160.5,0.0,top
mouse-bite-5mm-slot_3,152.6,-160.5,0.0,top
mouse-bite-5mm-slot_2,228.8,-181.2,90.0,top
mouse-bite-5mm-slot,163.8,-180.3,90.0,top
